Infection,Bird,Diet,day,log_load
MG,209,Lipid,3,7.552125418
MG,101L5,Lipid,3,8.02373275
MG,AR1721,Lipid,3,7.112706283
MG,Blue015,Lipid,3,7.184154682
MG,Blue031,Lipid,3,7.743873389
MG,Blue043,Lipid,3,7.743873389
MG,Blue055,Lipid,3,8.583451475
MG,LD19239,Lipid,3,7.921296679
MG,SEM1976,Lipid,3,8.385606275
MG,209,Lipid,7,8.307360732
MG,619,Lipid,7,7.648232004
MG,101L5,Lipid,7,7.581780607
MG,AR1721,Lipid,7,7.0424584
MG,Blue015,Lipid,7,6.742202582
MG,Blue031,Lipid,7,7.301921253
MG,Blue043,Lipid,7,7.301921253
MG,Blue055,Lipid,7,7.743873389
MG,orange27,Lipid,7,7.478642382
MG,LD19239,Lipid,7,8.087651155
MG,SEM1976,Lipid,7,8.187520724
MG,209,Lipid,14,0
MG,619,Lipid,14,0
MG,101L5,Lipid,14,0
MG,AR1721,Lipid,14,0
MG,Blue015,Lipid,14,0
MG,Blue031,Lipid,14,0
MG,Blue043,Lipid,14,4.385578885
MG,Blue055,Lipid,14,6.064717571
MG,LD19239,Lipid,14,0
MG,SEM1976,Lipid,14,0
MG,209,Lipid,21,0
MG,619,Lipid,21,0
MG,101L5,Lipid,21,0
MG,AR1721,Lipid,21,0
MG,Blue015,Lipid,21,0
MG,Blue031,Lipid,21,4.503341219
MG,LD19239,Lipid,21,0
MG,SEM1976,Lipid,21,0
MG,Blue043,Lipid,35,0
MG,610,Protein,3,8.143014803
MG,Blue032,Protein,3,8.580425411
MG,Blue035,Protein,3,8.02373275
MG,Blue037,Protein,3,7.743873389
MG,Blue042,Protein,3,8.02373275
MG,Blue045,Protein,3,8.02373275
MG,SEM19107,Protein,3,8.451786437
MG,SEM191481,Protein,3,7.655765125
MG,SEM1974,Protein,3,8.087651155
MG,610,Protein,7,6.59360613
MG,Blue032,Protein,7,6.685863
MG,Blue035,Protein,7,7.581780607
MG,Blue037,Protein,7,7.022061909
MG,Blue042,Protein,7,7.301921253
MG,Blue045,Protein,7,7.743873389
MG ,106,Protein,7,7.777527985
MG,SEM19107,Protein,7,9.049218023
MG,SEM191481,Protein,7,7.345828413
MG,SEM1974,Protein,7,8.307360732
MG,610,Protein,14,0
MG,Blue032,Protein,14,0
MG,Blue035,Protein,14,0
MG,Blue037,Protein,14,4.385578885
MG,Blue042,Protein,14,0
MG,Blue045,Protein,14,4.665429759
MG,SEM19107,Protein,14,7.058510332
MG,SEM191481,Protein,14,6.46125565
MG,SEM1974,Protein,14,0
MG,610,Protein,21,0
MG,Blue032,Protein,21,0
MG,Blue035,Protein,21,0
MG,Blue037,Protein,21,4.385578885
MG,Blue042,Protein,21,0
MG,Blue045,Protein,21,0
MG,SEM19107,Protein,21,0
MG,SEM191481,Protein,21,0
MG,SEM1974,Protein,21,0
MG,Blue037,Protein,35,0
