Bird ID,diet,infection,Time Point,Hematocrit (%)
48,Lipid,control,0,56
106,Protein,MG,0,57
106,Protein,MG,7,58
164,Protein,control,7,51
164,Protein,control,14,51
164,Protein,control,21,47
172,Protein,control,7,57
172,Protein,control,21,57
209,Lipid,MG,0,48
209,Lipid,MG,7,53
209,Lipid,MG,14,47
209,Lipid,MG,21,46
601,Protein,control,7,56
601,Protein,control,21,52
610,Protein,MG,0,57
610,Protein,MG,7,55
610,Protein,MG,14,54
615,Protein,control,7,48
615,Protein,control,14,45
615,Protein,control,21,49
617,Protein,control,7,59
617,Protein,control,21,56
618,Lipid,control,0,53
619,Lipid,MG,0,53
619,Lipid,MG,7,53
619,Lipid,MG,21,54
625,Lipid,control,0,46
101LS,Lipid,MG,0,54
101LS,Lipid,MG,7,58
101LS,Lipid,MG,14,55
101LS,Lipid,MG,21,54
161LS,Lipid,MG,0,47
AR1721,Lipid,MG,0,57
AR1721,Lipid,MG,7,57
AR1721,Lipid,MG,14,57
AR1721,Lipid,MG,21,59
Blue010,Lipid,control,0,45
Blue010,Lipid,control,14,46
Blue013,Protein,control,0,56
Blue013,Protein,control,7,56
Blue013,Protein,control,14,56
Blue013,Protein,control,21,52
Blue015,Lipid,MG,0,50
Blue015,Lipid,MG,7,60
Blue015,Lipid,MG,14,50
Blue015,Lipid,MG,21,53
Blue024,Protein,control,7,60
Blue024,Protein,control,14,60
Blue024,Protein,control,21,58
Blue031,Lipid,MG,0,59
Blue031,Lipid,MG,7,57
Blue031,Lipid,MG,14,60
Blue031,Lipid,MG,21,60
Blue032,Protein,MG,0,58
Blue032,Protein,MG,7,58
Blue032,Protein,MG,14,57
Blue032,Protein,MG,21,54
Blue035,Protein,MG,0,56
Blue035,Protein,MG,7,51
Blue035,Protein,MG,14,51
Blue035,Protein,MG,21,51
Blue037,Protein,MG,0,55
Blue037,Protein,MG,7,61
Blue037,Protein,MG,14,51
Blue037,Protein,MG,21,50
Blue039,Lipid,control,0,57
Blue042,Protein,MG,0,62
Blue042,Protein,MG,7,55
Blue042,Protein,MG,14,60
Blue042,Protein,MG,21,57
Blue043,Lipid,MG,0,55
Blue043,Lipid,MG,7,47
Blue043,Lipid,MG,14,56
Blue045,Protein,MG,0,58
Blue045,Protein,MG,7,50
Blue045,Protein,MG,14,54
Blue045,Protein,MG,21,55
Blue047,Lipid,control,0,56
Blue049,Protein,control,0,54
Blue049,Protein,control,7,56
Blue049,Protein,control,14,58
Blue049,Protein,control,21,57
Blue050,Lipid,control,0,56
Blue055,Lipid,MG,0,60
Blue055,Lipid,MG,7,56
Blue055,Lipid,MG,14,60
Blue098,Lipid,control,0,50
Blue098,Lipid,control,21,53
LD19239,Lipid,MG,0,54
LD19239,Lipid,MG,7,47
LD19239,Lipid,MG,14,55
Orange24,Protein,control,0,56
Orange24,Protein,control,7,54
Orange24,Protein,control,14,57
Orange24,Protein,control,21,59
Orange27,Lipid,MG,0,35
Orange27,Lipid,MG,7,37
SEM19107,Protein,MG,0,49
SEM19107,Protein,MG,7,62
SEM19107,Protein,MG,14,52
SEM19107,Protein,MG,21,51
SEM19140,Lipid,control,0,48
SEM19140,Lipid,control,21,53
SEM191481,Protein,MG,0,38
SEM191481,Protein,MG,7,43
SEM191481,Protein,MG,14,40
SEM1976,Lipid,MG,0,49
SEM1976,Lipid,MG,7,56
SEM1976,Lipid,MG,14,62
SEM191354,Protein,control,0,55
SEM191354,Protein,control,7,53
SEM191354,Protein,control,21,57
SEM1974,Protein,MG,0,52
SEM1974,Protein,MG,7,62
SEM1974,Protein,MG,21,53
