Bird ID ,sex,trt,Day ,Basophil,Eosinphil,Heterophil,Lymphocyte,Monocyte,H/L ratio
608,m,C,0,0,14,1,85,0,0.011764706
624,m,C,0,0,12,23,62,3,0.370967742
630,m,C,0,0,4,15,80,1,0.1875
690,f,C,0,0,12,1,85,2,0.011764706
Blue004,f,C,0,0,27,14,49,10,0.285714286
LD18202,m,C,0,0,15,6,70,9,0.085714286
LD19211,m,C,0,0,16,4,71,9,0.056338028
LD238,f,C,0,1,17,4,78,0,0.051282051
LD243,f,C,0,0,19,9,72,0,0.125
LD553,f,C,0,0,9,7,82,2,0.085365854
LD578,f,C,0,0,14,0,79,7,0
MK114,m,C,0,0,4,37,55,4,0.672727273
608,m,C,7,0,24,7,69,0,0.101449275
624,m,C,7,0,20,6,74,0,0.081081081
630,m,C,7,0,13,5,80,2,0.0625
690,f,C,7,0,12,9,76,3,0.118421053
Blue004,f,C,7,0,34,20,39,7,0.512820513
LD18202,m,C,7,0,8,8,78,6,0.102564103
LD19211,m,C,7,0,27,6,67,0,0.089552239
LD238,f,C,7,0,13,2,85,0,0.023529412
LD243,f,C,7,0,21,7,64,8,0.109375
LD553,f,C,7,0,11,6,79,4,0.075949367
LD578,f,C,7,0,7,9,82,2,0.109756098
MK114,m,C,7,0,12,64,24,0,2.666666667
608,m,C,14,0,21,5,67,7,0.074626866
624,m,C,14,0,23,10,60,7,0.166666667
630,m,C,14,0,11,7,77,5,0.090909091
690,f,C,14,0,18,3,74,5,0.040540541
Blue004,f,C,14,0,22,16,48,14,0.333333333
LD18202,m,C,14,0,6,1,86,8,0.011627907
LD19211,m,C,14,0,10,7,81,2,0.086419753
LD238,f,C,14,0,12,2,86,0,0.023255814
LD243,f,C,14,0,22,16,48,14,0.333333333
LD553,f,C,14,0,4,17,78,1,0.217948718
LD578,f,C,14,0,18,3,71,8,0.042253521
MK114,m,C,14,0,8,45,41,6,1.097560976
608,m,C,21,0,11,4,85,0,0.047058824
624,m,C,21,0,12,13,75,0,0.173333333
630,m,C,21,0,6,15,78,1,0.192307692
690,f,C,21,0,5,4,88,3,0.045454545
Blue004,f,C,21,0,17,25,55,3,0.454545455
LD18202,m,C,21,0,7,5,86,2,0.058139535
LD19211,m,C,21,0,14,7,78,1,0.08974359
LD238,f,C,21,0,12,10,75,3,0.133333333
LD243,f,C,21,0,22,14,59,5,0.237288136
LD553,f,C,21,0,4,11,79,6,0.139240506
LD578,f,C,21,0,9,14,73,4,0.191780822
MK114,m,C,21,0,12,38,50,0,0.76
609,m,MG,0,0,5,4,91,0,0.043956044
616,m,MG,0,0,10,6,70,6,0.085714286
1217,f,MG,0,0,7,19,73,1,0.260273973
Blue014,m,MG,0,0,8,4,81,8,0.049382716
Blue048,m,MG,0,0,8,9,78,5,0.115384615
Blue096,m,MG,0,0,6,25,66,3,0.378787879
LD1822,m,MG,0,0,3,1,3,0,0.333333333
LD19208,m,MG,0,0,12,12,72,4,0.166666667
LD245,f,MG,0,0,24,16,57,3,0.280701754
LD541,f,MG,0,0,28,6,66,0,0.090909091
LD584,f,MG,0,0,10,7,80,3,0.0875
LD586,f,MG,0,0,9,2,87,2,0.022988506
SEM1978,f,MG,0,0,14,26,59,1,0.440677966
609,m,MG,7,0,9,7,82,2,0.085365854
616,m,MG,7,0,25,1,61,13,0.016393443
1217,f,MG,7,0,16,2,80,2,0.025
Blue048,m,MG,7,0,11,0,79,10,0
LD19208,m,MG,7,0,12,3,80,5,0.0375
LD245,f,MG,7,0,9,0,90,1,0
LD541,f,MG,7,0,22,7,71,0,0.098591549
LD584,f,MG,7,0,11,6,80,3,0.075
LD586,f,MG,7,0,6,3,91,0,0.032967033
609,m,MG,14,0,8,4,86,2,0.046511628
616,m,MG,14,0,30,12,54,4,0.222222222
1217,f,MG,14,0,7,20,71,2,0.281690141
Blue048,m,MG,14,0,9,6,81,4,0.074074074
LD19208,m,MG,14,0,11,15,72,2,0.208333333
LD245,f,MG,14,0,12,2,84,2,0.023809524
LD541,f,MG,14,0,18,5,75,2,0.066666667
LD584,f,MG,14,0,17,7,74,2,0.094594595
LD586,f,MG,14,0,10,4,84,2,0.047619048
609,m,MG,21,0,9,9,80,2,0.1125
616,m,MG,21,0,16,3,79,2,0.037974684
1217,f,MG,21,0,8,27,63,2,0.428571429
Blue048,m,MG,21,0,8,7,85,0,0.082352941
LD19208,m,MG,21,0,13,3,84,0,0.035714286
LD245,f,MG,21,0,19,5,75,1,0.066666667
LD541,f,MG,21,0,16,11,70,3,0.157142857
LD584,f,MG,21,0,10,8,82,0,0.097560976
LD586,f,MG,21,0,3,14,81,2,0.172839506
