Bird,Infection,sex,Day,mass,fat
LD553,Control,f,0,30.15,3
LD238,Control,f,0,36.48,3
LD578,Control,f,0,18.67,0.5
690,Control,f,0,23.51,2
LD243,Control,f,0,23.35,2
Blue004,Control,f,0,20.13,1
608,Control,m,0,19.02,1
624,Control,m,0,19.82,0.5
MK114,Control,m,0,25.97,2
630,Control,m,0,20.63,1
LD19211,Control,m,0,22.69,1
LD18202,Control,m,0,16.02,0
1217,MG,f,0,23.87,2
LD586,MG,f,0,22.22,2
LD541,MG,f,0,23.08,2.5
LD584,MG,f,0,20.79,1
LD245,MG,f,0,23.61,1.5
LD19208,MG,m,0,24.46,2
Blue048,MG,m,0,21.76,0.5
609,MG,m,0,23.52,2
616,MG,m,0,20.45,1
Blue096,MG,m,0,16.78,0.5
SEM1978,MG,f,0,21.94,1.5
Blue014,MG,m,0,23.36,2
LD18221,MG,m,0,14.92,0
LD553,Control,f,7,29.8,3
LD238,Control,f,7,37.1,3
LD578,Control,f,7,18.61,0.5
690,Control,f,7,23.22,2
LD243,Control,f,7,23.81,2
Blue004,Control,f,7,20.36,1
608,Control,m,7,18.97,1
624,Control,m,7,16.8,0.5
MK114,Control,m,7,26.11,2
630,Control,m,7,21.12,1
LD19211,Control,m,7,23.16,1
LD18202,Control,m,7,16.1,0
1217,MG,f,7,21.58,1.5
LD586,MG,f,7,19.61,2
LD541,MG,f,7,18.26,2
LD584,MG,f,7,17.71,2
LD245,MG,f,7,19.67,2
LD19208,MG,m,7,18.81,1
Blue048,MG,m,7,19.66,0.5
609,MG,m,7,19.78,1
616,MG,m,7,16.65,1
Blue096,MG,m,7,13.3,0
LD553,Control,f,14,29.12,3
LD238,Control,f,14,35.47,3
LD578,Control,f,14,17.95,1
690,Control,f,14,23.57,2
LD243,Control,f,14,23.22,2
Blue004,Control,f,14,20.17,1.5
608,Control,m,14,18.79,1
624,Control,m,14,20.25,1
MK114,Control,m,14,25.89,2.5
630,Control,m,14,21.45,1
LD19211,Control,m,14,23.05,1.5
LD18202,Control,m,14,16.21,0.5
1217,MG,f,14,23.06,2
LD586,MG,f,14,18.76,0.5
LD541,MG,f,14,18.93,1
LD584,MG,f,14,18.15,1
LD245,MG,f,14,19.85,1.5
LD19208,MG,m,14,18.95,1
Blue048,MG,m,14,19.34,0.5
609,MG,m,14,21.27,1.5
616,MG,m,14,17.98,0.5
LD553,Control,f,21,28.56,3
LD238,Control,f,21,35.52,3
LD578,Control,f,21,17.36,1
690,Control,f,21,23.8,2
LD243,Control,f,21,23.98,2
Blue004,Control,f,21,31.12,3
608,Control,m,21,18.92,1.5
624,Control,m,21,20.36,1
MK114,Control,m,21,26.63,3
630,Control,m,21,22.31,2
LD19211,Control,m,21,22.62,2
LD18202,Control,m,21,15.84,0.5
1217,MG,f,21,23.93,2.5
LD586,MG,f,21,19.08,1.5
LD541,MG,f,21,18.8,1
LD584,MG,f,21,18.19,1
LD245,MG,f,21,19.56,1.5
LD19208,MG,m,21,19.73,1
Blue048,MG,m,21,19.98,1
609,MG,m,21,21.24,2
616,MG,m,21,18.62,1
LD553,Control,f,35,28.74,2
LD238,Control,f,35,33.15,3
LD578,Control,f,35,17.97,1
690,Control,f,35,21.43,1
LD243,Control,f,35,24.29,2.5
Blue004,Control,f,35,19.92,1
608,Control,m,35,18.96,1
624,Control,m,35,20.27,1
MK114,Control,m,35,26.16,3
630,Control,m,35,23.83,2
LD19211,Control,m,35,21.68,1.5
LD18202,Control,m,35,15.7,0.5
1217,MG,f,35,25.85,2.5
LD586,MG,f,35,20.67,1.5
LD541,MG,f,35,18.07,1
LD584,MG,f,35,18.2,1
LD245,MG,f,35,21.39,1.5
LD19208,MG,m,35,17.8,1
Blue048,MG,m,35,18.68,1
609,MG,m,35,22.15,2
616,MG,m,35,19.6,1
