Bird ID,sex,Infection,day,log load
609,m,MG,7,7.91796676
616,m,MG,7,7.487399733
1217,f,MG,7,7.760375523
Blue048,m,MG,7,8.579302906
Blue096,m,MG,7,8.47743045
LD19208,m,MG,7,6.941448175
LD245,f,MG,7,7.37201518
LD541,f,MG,7,6.941448175
LD584,f,MG,7,6.395496707
LD586,f,MG,7,5.303595505
609,m,MG,14,4.915238271
616,m,MG,14,4.484680183
1217,f,MG,14,0
Blue048,m,MG,14,7.214423949
LD19208,m,MG,14,0
LD245,f,MG,14,4.484680183
LD541,f,MG,14,0
LD584,f,MG,14,0
LD586,f,MG,14,0
609,m,MG,21,5.188211604
616,m,MG,21,0
1217,f,MG,21,0
Blue048,m,MG,21,6.122521063
LD19208,m,MG,21,0
LD245,f,MG,21,4.208934401
LD541,f,MG,21,0
LD584,f,MG,21,0
LD586,f,MG,21,0
609,m,MG,35,0
616,m,MG,35,4.65916156
1217,f,MG,35,0
Blue048,m,MG,35,7.755298621
LD19208,m,MG,35,0
LD245,f,MG,35,0
LD541,f,MG,35,5.223046248
LD584,f,MG,35,4.799532003
LD586,f,MG,35,4.799532003
